demand_id,buyer_id,crop,variety,required_quantity_tons,maximum_price_per_quintal,description,demand_date,required_by_date,cluster,district,taluka,village
D0038,B4405,Bajra,Saburi,16.86,2936.75,Bulk Bajra requirement for processing.,2026-08-19,2026-10-30,Marathwada,Jalna,Badnapur,Bawane Pangri
D0039,B2335,Linseed,Sharda,47.04,7049.63,Looking to procure Linseed for institutional buyers.,2026-07-12,2026-10-30,Vidarbha,Gadchiroli,Kurkheda,Wadegaon
D0040,B4544,Ragi,Phule Nachani,7.31,4306.88,Sourcing Ragi in bulk for our processing unit.,2026-05-16,2026-06-23,Konkan,Palghar,Vikramgad,Alonde
D0041,B4533,Tur,ICPL-87,47.2,7992.47,"Procurement need for good quality Tur, open to multiple sellers.",2026-07-31,2026-09-27,Marathwada,Beed,Wadwani,Wadvani
D0042,B4141,Groundnut,JL-24,14.42,7075.14,Sourcing Groundnut in bulk for our processing unit.,2026-05-05,2026-07-11,Western Maharashtra (Desh),Kolhapur,Hatkanangale,Rukadi
D0043,B1072,Coconut,Not Specified,12.73,5512.15,Inviting offers for Coconut from farmers in the region.,2026-08-02,2026-09-16,Konkan,Sindhudurg,Vengurla,Chipi
D0044,B0080,Areca Nut,Mangala,22.32,54598.25,"Standing requirement for Areca Nut, quantity flexible based on quality.",2026-07-15,2026-08-21,Konkan,Sindhudurg,Malwan,Waghavane
D0045,B1045,Wheat,Sharbati,64.13,3165.07,Looking for fresh Wheat for wholesale procurement.,2026-08-20,2026-10-10,Vidarbha,Bhandara,Mohadi,Kandri
D0046,B2045,Groundnut,Not Specified,31.45,7564.05,Buyer looking to purchase Groundnut directly from farmers.,2026-08-25,2026-12-23,Western Maharashtra (Desh),Pune,Khed,Adgaon
D0047,B1267,Mango (Alphonso),Not Specified,11.93,10336.43,Seeking regular Mango (Alphonso) supply from nearby farmers.,2026-08-19,2026-08-30,Konkan,Ratnagiri,Dapoli,Murdi
D0048,B1470,Soybean,Not Specified,29.15,7441.93,Looking to procure Soybean for institutional buyers.,2026-08-18,2026-10-13,Marathwada,Hingoli,Aundha Nagnath,Jawala Bajar
D0049,B2186,Sugarcane,Phule 265,119.29,598.57,Need consistent Sugarcane supply for ongoing operations.,2026-06-01,2026-08-23,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Shevgaon,Akhegaon Titarfa
D0050,B2865,Areca Nut,Mangala,11.65,49933.52,Buyer looking to purchase Areca Nut directly from farmers.,2026-06-16,2026-06-30,Konkan,Sindhudurg,Kudal,Gaorai
D0051,B2287,Rice,Kolam,44.73,5570.79,Inviting offers for Rice from farmers in the region.,2026-06-16,2026-07-14,Khandesh,Nashik,Deola,Vijayanagara
D0052,B0945,Jowar,Not Specified,26.03,4891.11,Sourcing Jowar in bulk for our processing unit.,2026-05-04,2026-08-13,Khandesh,Jalgaon,Bhusawal,Anjansonde
D0053,B3560,Areca Nut,Sumangala,18.71,58597.04,Bulk Areca Nut requirement for processing.,2026-06-24,2026-07-16,Konkan,Sindhudurg,Kankavli,Bandargaon
D0054,B2087,Gram,Vijay,8.61,6794.34,Inviting offers for Gram from farmers in the region.,2026-07-31,2026-11-27,Marathwada,Latur,Ahmedpur,Hadolti
D0055,B1615,Groundnut,JL-24,70.23,8858.49,"Standing requirement for Groundnut, quantity flexible based on quality.",2026-06-14,2026-07-24,Vidarbha,Akola,Balapur,Wadegaon
D0056,B2461,Rice,Karjat-3,38.51,4890.64,Inviting offers for Rice from farmers in the region.,2026-05-18,2026-08-04,Konkan,Thane,Bhiwandi,Ambardi
D0057,B3106,Gram,Not Specified,67.95,6093.66,Sourcing Gram in bulk for our processing unit.,2026-06-27,2026-07-22,Marathwada,Latur,Shirur Anantpal,Aari
D0058,B2490,Sunflower,Phule Raviraj,63.92,6981.41,Requirement raised for Sunflower to meet upcoming production schedule.,2026-07-04,2026-09-23,Vidarbha,Buldhana,Mehkar,Anjani Bk.
D0059,B1751,Ragi,Phule Nachani,9.39,2916.07,Inviting offers for Ragi from farmers in the region.,2026-07-28,2026-11-09,Konkan,Thane,Bhiwandi,Ambardi
D0060,B2746,Groundnut,Phule Unnati,52.24,6361.6,"Procurement need for good quality Groundnut, open to multiple sellers.",2026-05-21,2026-06-20,Vidarbha,Washim,Malegaon,Chiwara
D0061,B2006,Soybean,Not Specified,46.78,6914.87,Need consistent Soybean supply for ongoing operations.,2026-06-28,2026-10-11,Vidarbha,Washim,Manora,Shendurjana (A)
D0062,B4716,Chickoo,Kalipatti,19.11,2447.03,Looking to procure Chickoo for institutional buyers.,2026-07-31,2026-08-16,Konkan,Thane,Shahapur,Cherpoli
D0063,B3483,Bajra,Shraddha,11.56,2675.98,Bulk Bajra requirement for processing.,2026-07-03,2026-09-25,Marathwada,Chhatrapati Sambhajinagar (Aurangabad),Aurangabad,Devlai
D0064,B4352,Vari,Not Specified,50.31,5176.39,Need consistent Vari supply for ongoing operations.,2026-07-23,2026-11-17,Western Maharashtra (Desh),Satara,Satara,Angapur Vandan
D0065,B4136,Ragi,Phule Nachani,18.07,3046.44,Need consistent Ragi supply for ongoing operations.,2026-07-02,2026-08-27,Konkan,Raigad,Mahad,Rupavali
D0066,B2272,Vari,Not Specified,45.16,4512.35,Sourcing Vari in bulk for our processing unit.,2026-07-01,2026-10-25,Western Maharashtra (Desh),Satara,Koregaon,Ambawade S. Wagholi
D0067,B2341,Gram,Phule Vikram,29.55,5923.36,Seeking regular Gram supply from nearby farmers.,2026-05-21,2026-08-03,Marathwada,Latur,Jalkot,Atnoor
D0068,B1252,Areca Nut,Not Specified,6.39,43187.84,Inviting offers for Areca Nut from farmers in the region.,2026-07-04,2026-07-17,Konkan,Ratnagiri,Chiplun,Bivali
D0069,B1695,Cashew,Not Specified,16.77,21445.0,Sourcing Cashew for export-quality grading and packaging.,2026-05-02,2026-06-05,Konkan,Raigad,Poladpur,Adavale Kh.
D0070,B3908,Vari,Local Bhagar landrace,29.69,4026.04,Buyer looking to purchase Vari directly from farmers.,2026-07-14,2026-11-10,Konkan,Raigad,Tala,Ambeli
D0071,B4474,Chickoo,Not Specified,31.48,3052.0,Sourcing Chickoo in bulk for our processing unit.,2026-06-30,2026-07-11,Konkan,Palghar,Talasari,Vasa
D0072,B3186,Udid,TAU-2,57.08,9115.63,Seeking regular Udid supply from nearby farmers.,2026-08-26,2026-11-27,Konkan,Thane,Bhiwandi,Ambardi
D0073,B0221,Banana,Not Specified,22.08,4000.5,Bulk Banana requirement for processing.,2026-07-26,2026-08-13,Khandesh,Jalgaon,Jalgaon,Amode Bk.
D0074,B3783,Tur,ICPL-87,32.68,6254.01,Requirement raised for Tur to meet upcoming production schedule.,2026-06-17,2026-08-29,Marathwada,Latur,Ahmedpur,Hadolti
D0075,B2280,Tur,Not Specified,61.8,6393.55,Bulk Tur requirement for processing.,2026-07-05,2026-11-02,Vidarbha,Amravati,Bhatkuli,Bhatkuli
D0076,B4419,Cotton,DCH-32,22.48,7815.89,Looking to procure Cotton for institutional buyers.,2026-05-05,2026-06-02,Marathwada,Dharashiv (Osmanabad),Washi,Washi
D0077,B2026,Wheat,Lokwan,46.81,2372.98,Need consistent Wheat supply for ongoing operations.,2026-07-29,2026-11-03,Vidarbha,Bhandara,Sakoli,Sendurwafa
D0078,B1786,Maize,Ganga Safed-2,58.3,1932.93,"Standing requirement for Maize, quantity flexible based on quality.",2026-08-25,2026-12-19,Marathwada,Chhatrapati Sambhajinagar (Aurangabad),Sillod,Shivna
D0079,B0939,Maize,Not Specified,19.05,2083.22,"Standing requirement for Maize, quantity flexible based on quality.",2026-05-02,2026-07-05,Khandesh,Jalgaon,Amalner,Ambare
D0080,B4717,Ragi,Not Specified,34.18,3462.8,Sourcing Ragi for export-quality grading and packaging.,2026-05-28,2026-09-05,Konkan,Palghar,Vada,Chinchghar
D0081,B1990,Banana,Rajapuri,29.99,3757.27,Bulk Banana requirement for processing.,2026-08-11,2026-08-23,Khandesh,Jalgaon,Muktainagar,Bahadarpur
D0082,B2845,Udid,TAU-1,13.25,8506.45,Looking for fresh Udid for wholesale procurement.,2026-08-16,2026-11-11,Konkan,Thane,Shahapur,Shirol
D0083,B0865,Soybean,JS 9560,48.32,7110.39,Sourcing Soybean for export-quality grading and packaging.,2026-05-22,2026-07-08,Vidarbha,Washim,Karanja,Bembla
D0084,B4275,Groundnut,Not Specified,26.0,8454.71,Inviting offers for Groundnut from farmers in the region.,2026-08-09,2026-11-01,Khandesh,Nashik,Deola,Vijayanagara
D0085,B3569,Areca Nut,Not Specified,23.87,40908.55,"Procurement need for good quality Areca Nut, open to multiple sellers.",2026-08-15,2026-08-30,Konkan,Ratnagiri,Rajapur,Varachiwadi (Kasheli)
D0086,B2285,Bajra,Not Specified,24.05,3239.04,"Standing requirement for Bajra, quantity flexible based on quality.",2026-07-29,2026-10-05,Western Maharashtra (Desh),Pune,Khed,Amboli
D0087,B0236,Udid,TAU-1,20.8,7131.8,Sourcing Udid in bulk for our processing unit.,2026-06-18,2026-09-27,Konkan,Thane,Thane,Agasan
D0088,B2264,Groundnut,Not Specified,42.07,6241.14,"Procurement need for good quality Groundnut, open to multiple sellers.",2026-08-04,2026-10-30,Western Maharashtra (Desh),Pune,Haveli,Ambee
D0089,B4549,Groundnut,Not Specified,53.4,7872.59,Need consistent Groundnut supply for ongoing operations.,2026-07-02,2026-07-29,Western Maharashtra (Desh),Solapur,Pandharpur,Bhalawani
D0090,B0763,Groundnut,TAG-24,53.48,6654.16,"Standing requirement for Groundnut, quantity flexible based on quality.",2026-06-22,2026-09-25,Western Maharashtra (Desh),Kolhapur,Karvir,Bahireshwar
D0091,B4350,Vari,Local Bhagar landrace,33.39,4157.0,Sourcing Vari in bulk for our processing unit.,2026-06-05,2026-07-15,Konkan,Palghar,Vasai,Bhatane
D0092,B1578,Mango (Alphonso),Kesar,10.46,23994.84,Sourcing Mango (Alphonso) in bulk for our processing unit.,2026-08-04,2026-09-16,Konkan,Sindhudurg,Kankavli,Shivajipeth
D0093,B2319,Chickoo,Not Specified,29.48,2576.48,Requirement raised for Chickoo to meet upcoming production schedule.,2026-05-26,2026-06-05,Konkan,Palghar,Vada,Ambiste Kh.
D0094,B4376,Soybean,JS 20-29,69.73,6216.36,Sourcing Soybean for export-quality grading and packaging.,2026-08-24,2026-12-08,Marathwada,Nanded,Deglur,Markhel
D0095,B4022,Cashew,Konkan Kalpa,22.73,18469.78,Need consistent Cashew supply for ongoing operations.,2026-06-18,2026-07-01,Konkan,Sindhudurg,Kankavli,Waingani
D0096,B2069,Groundnut,Not Specified,39.53,8504.63,Buyer looking to purchase Groundnut directly from farmers.,2026-07-08,2026-10-14,Khandesh,Nashik,Sinnar,Wavi
D0097,B0440,Banana,Shrimanti,33.02,1755.02,"Procurement need for good quality Banana, open to multiple sellers.",2026-05-17,2026-06-22,Khandesh,Jalgaon,Bhadgaon,Achalgaon
D0098,B1849,Cotton,Not Specified,32.41,10017.06,Sourcing Cotton in bulk for our processing unit.,2026-08-17,2026-11-04,Khandesh,Jalgaon,Jalgaon,Amode Kh.
D0099,B2502,Tur,Not Specified,12.17,8825.7,Bulk Tur requirement for processing.,2026-08-24,2026-10-14,Marathwada,Latur,Jalkot,Chera
D0100,B1729,Vari,Konkan local Vari landrace,19.87,3582.02,Bulk Vari requirement for processing.,2026-05-22,2026-08-07,Konkan,Thane,Bhiwandi,Anjur
D0101,B3691,Mango (Alphonso),Not Specified,19.54,7257.63,Sourcing Mango (Alphonso) in bulk for our processing unit.,2026-08-02,2026-09-10,Konkan,Sindhudurg,Sawantwadi,Kariwade
D0102,B0584,Wheat,Not Specified,65.68,3153.28,Looking to procure Wheat for institutional buyers.,2026-07-20,2026-09-08,Vidarbha,Wardha,Arvi,Pimpalkhuta
D0103,B3483,Bajra,Phule Adishakti,50.09,4398.3,Seeking regular Bajra supply from nearby farmers.,2026-05-10,2026-06-25,Marathwada,Chhatrapati Sambhajinagar (Aurangabad),Aurangabad,Devlai
D0104,B2520,Sugarcane,Not Specified,479.57,616.65,Need consistent Sugarcane supply for ongoing operations.,2026-05-18,2026-09-08,Marathwada,Parbhani,Jintur,Bori
D0105,B2492,Udid,Not Specified,71.7,8042.14,Need consistent Udid supply for ongoing operations.,2026-07-01,2026-10-10,Konkan,Palghar,Talasari,Sutrakar
D0106,B0327,Sunflower,Not Specified,60.34,6972.12,Looking for fresh Sunflower for wholesale procurement.,2026-05-13,2026-09-01,Vidarbha,Buldhana,Sangrampur,Bawanbir
D0107,B4713,Maize,Not Specified,9.75,2559.25,Sourcing Maize in bulk for our processing unit.,2026-07-18,2026-09-03,Marathwada,Chhatrapati Sambhajinagar (Aurangabad),Soegaon,Gondegaon
D0108,B3855,Groundnut,TAG-24,68.09,6206.83,"Standing requirement for Groundnut, quantity flexible based on quality.",2026-06-30,2026-09-25,Western Maharashtra (Desh),Pune,Baramati,Anjangaon
D0109,B0748,Tur,Phule Rajeshwari,29.73,7829.34,Seeking regular Tur supply from nearby farmers.,2026-06-16,2026-10-07,Vidarbha,Gadchiroli,Korchi,Maseli
D0110,B4059,Groundnut,TAG-24,61.41,7528.95,Need consistent Groundnut supply for ongoing operations.,2026-05-12,2026-07-08,Vidarbha,Bhandara,Tumsar,Ashti
D0111,B2649,Bajra,Shraddha,64.11,4180.18,Looking for fresh Bajra for wholesale procurement.,2026-07-28,2026-10-30,Khandesh,Nashik,Yeola,Bokte
D0112,B3785,Udid,Phule Uttara,43.32,8427.81,Need consistent Udid supply for ongoing operations.,2026-07-24,2026-08-24,Konkan,Palghar,Palghar,Betegaon
D0113,B1668,Field Beans,Konkan Val landrace,36.27,3917.46,Sourcing Field Beans for export-quality grading and packaging.,2026-07-07,2026-07-18,Konkan,Raigad,Alibag,Akshi
D0114,B1961,Ragi,Not Specified,13.82,2791.39,Buyer looking to purchase Ragi directly from farmers.,2026-05-13,2026-06-21,Konkan,Raigad,Sudhagad-Pali,Kumbharshet
D0115,B3781,Soybean,Not Specified,49.09,4919.59,Sourcing Soybean for export-quality grading and packaging.,2026-06-11,2026-10-04,Marathwada,Nanded,Umri,Sindhi
D0116,B2240,Coconut,T x D hybrid,36.1,3666.76,Inviting offers for Coconut from farmers in the region.,2026-05-21,2026-06-12,Konkan,Sindhudurg,Sawantwadi,Kariwade
D0117,B4164,Sunflower,Not Specified,18.55,5290.57,Buyer looking to purchase Sunflower directly from farmers.,2026-06-18,2026-09-15,Vidarbha,Buldhana,Sangrampur,Sangrampur Pr. Jamod
D0118,B2189,Bajra,Not Specified,26.56,2804.94,"Standing requirement for Bajra, quantity flexible based on quality.",2026-07-19,2026-11-05,Marathwada,Chhatrapati Sambhajinagar (Aurangabad),Aurangabad,Tisgaon
D0119,B4012,Jowar,Not Specified,38.39,4479.1,Requirement raised for Jowar to meet upcoming production schedule.,2026-07-15,2026-10-17,Vidarbha,Buldhana,Shegaon,Shegaon (R)
D0120,B3091,Groundnut,SB-11,65.06,9073.71,"Procurement need for good quality Groundnut, open to multiple sellers.",2026-07-18,2026-09-10,Western Maharashtra (Desh),Pune,Purandhar,Ambodi
D0121,B3366,Cotton,RCH-2 Bt,53.08,9762.59,Buyer looking to purchase Cotton directly from farmers.,2026-08-26,2026-12-12,Vidarbha,Amravati,Chandurbazar,Shirajgaon Kasba
D0122,B1247,Chickoo,Cricket Ball,7.83,4233.78,Requirement raised for Chickoo to meet upcoming production schedule.,2026-08-18,2026-09-25,Konkan,Palghar,Vasai,Arnala
D0123,B0817,Cashew,Vengurla-8,4.67,15248.51,Looking to procure Cashew for institutional buyers.,2026-08-25,2026-09-08,Konkan,Sindhudurg,Kankavli,Bandargaon
D0124,B3847,Jowar,Not Specified,26.29,5073.77,Buyer looking to purchase Jowar directly from farmers.,2026-07-27,2026-10-02,Khandesh,Jalgaon,Dharangaon,Ahire Bk.
D0125,B4372,Sugarcane,Co 94012,380.24,604.2,Need consistent Sugarcane supply for ongoing operations.,2026-08-18,2026-09-16,Khandesh,Nandurbar,Akkalkuwa,Molgi
D0126,B0561,Ragi,Phule Nachani,33.01,4516.02,Sourcing Ragi for export-quality grading and packaging.,2026-05-12,2026-06-18,Konkan,Raigad,Murud,Agardande
D0127,B0824,Banana,Rajapuri,31.62,1602.72,Looking for fresh Banana for wholesale procurement.,2026-06-11,2026-07-14,Khandesh,Jalgaon,Raver,Ainpur
D0128,B3529,Ragi,Phule Nachani,17.01,3962.69,Seeking regular Ragi supply from nearby farmers.,2026-05-24,2026-06-28,Konkan,Ratnagiri,Sangameshwar,Wadi Adhishti
D0129,B3134,Jowar,Not Specified,24.67,6313.34,Seeking regular Jowar supply from nearby farmers.,2026-06-02,2026-09-16,Khandesh,Jalgaon,Bodwad,Amadgaon
D0130,B2081,Chickoo,Cricket Ball,31.51,2995.09,Sourcing Chickoo in bulk for our processing unit.,2026-07-30,2026-08-19,Konkan,Palghar,Mokhada,Gonde Bk.
D0131,B0606,Linseed,Parbhani Alsi,63.09,6268.94,Buyer looking to purchase Linseed directly from farmers.,2026-07-31,2026-10-22,Vidarbha,Gadchiroli,Korchi,Maseli
D0132,B2475,Soybean,MACS 1281,62.08,4765.95,Buyer looking to purchase Soybean directly from farmers.,2026-07-18,2026-10-24,Marathwada,Nanded,Hadgaon,Manatha
D0133,B2424,Cashew,Not Specified,13.72,23506.55,Looking to procure Cashew for institutional buyers.,2026-06-25,2026-07-05,Konkan,Raigad,Panvel,Belavali
D0134,B4637,Udid,Not Specified,60.7,9535.82,"Standing requirement for Udid, quantity flexible based on quality.",2026-08-06,2026-10-06,Konkan,Thane,Shahapur,Cherpoli
D0135,B1886,Soybean,Not Specified,30.42,6486.7,"Standing requirement for Soybean, quantity flexible based on quality.",2026-06-05,2026-09-30,Vidarbha,Washim,Manora,Poharadevi
D0136,B1121,Sunflower,Not Specified,72.14,7106.38,Sourcing Sunflower in bulk for our processing unit.,2026-08-11,2026-09-09,Vidarbha,Buldhana,Shegaon,Matargaon Bk.
D0137,B4748,Areca Nut,Mangala,7.25,40181.86,Sourcing Areca Nut for export-quality grading and packaging.,2026-06-28,2026-07-20,Konkan,Sindhudurg,Kudal,Gaorai
D0138,B1083,Banana,Not Specified,30.79,2845.76,Inviting offers for Banana from farmers in the region.,2026-08-22,2026-09-11,Khandesh,Jalgaon,Jalgaon,Amode Kh.
D0139,B2106,Soybean,Not Specified,67.82,7560.66,Sourcing Soybean in bulk for our processing unit.,2026-08-06,2026-10-13,Marathwada,Nanded,Nanded,Wadi Bk.
D0140,B0944,Areca Nut,Mangala,8.93,58123.1,Looking to procure Areca Nut for institutional buyers.,2026-08-04,2026-09-08,Konkan,Ratnagiri,Khed,Khed (Bhadgaon)
D0141,B4566,Areca Nut,Sumangala,4.73,46634.33,Need consistent Areca Nut supply for ongoing operations.,2026-06-21,2026-07-17,Konkan,Ratnagiri,Chiplun,Ketki
D0142,B4789,Linseed,Sharda,60.41,5792.3,"Procurement need for good quality Linseed, open to multiple sellers.",2026-07-05,2026-10-17,Vidarbha,Gondia,Salekasa,Tirkhedi
D0143,B4600,Maize,Pratap Hybrid-1,22.8,1823.21,Need consistent Maize supply for ongoing operations.,2026-08-21,2026-10-23,Khandesh,Dhule,Sakri,Dusane
D0144,B3345,Jowar,CSH-16,71.73,3708.67,Need consistent Jowar supply for ongoing operations.,2026-05-16,2026-07-10,Western Maharashtra (Desh),Pune,Purandhar,Ambale
D0145,B4404,Maize,Karveer,32.54,2752.95,Sourcing Maize for export-quality grading and packaging.,2026-08-24,2026-11-10,Khandesh,Nandurbar,Talode,Mod
D0146,B1266,Bajra,Not Specified,50.56,4203.09,"Standing requirement for Bajra, quantity flexible based on quality.",2026-06-27,2026-08-26,Marathwada,Chhatrapati Sambhajinagar (Aurangabad),Gangapur,Jogeshwari
D0147,B0269,Gram,Not Specified,22.81,5707.64,"Procurement need for good quality Gram, open to multiple sellers.",2026-08-17,2026-09-23,Marathwada,Latur,Chakur,Ambulga
D0148,B3010,Field Beans,Local Konkan landrace,6.51,3492.2,Bulk Field Beans requirement for processing.,2026-08-24,2026-10-02,Konkan,Raigad,Alibag,Agarkot
D0149,B0751,Ragi,Not Specified,24.23,3814.28,Looking for fresh Ragi for wholesale procurement.,2026-05-06,2026-07-12,Konkan,Ratnagiri,Sangameshwar,Devade
D0150,B1996,Soybean,Not Specified,57.89,5085.94,Inviting offers for Soybean from farmers in the region.,2026-05-30,2026-07-21,Vidarbha,Washim,Karanja,Bhambdevi
D0151,B1909,Sunflower,LSF-8,64.12,6947.77,Sourcing Sunflower in bulk for our processing unit.,2026-08-17,2026-09-29,Vidarbha,Buldhana,Jalgaon Jamod,Asalgaon
D0152,B1065,Wheat,NIAW-34,14.91,3264.97,Seeking regular Wheat supply from nearby farmers.,2026-05-01,2026-06-25,Marathwada,Nanded,Mudkhed,Niwgha
